IP地址,端口,回源端口,TLS,城市,地区,国家,城市,TCP延迟(ms),速度(MB/s)
206.238.236.33,2053,443,TRUE,Singapore,Europe,DE,Singapore,246,9.58
114.129.43.79,2053,443,TRUE,Singapore,Europe,DE,Singapore,220,9.56
206.238.236.121,2053,443,TRUE,Singapore,Europe,DE,Singapore,363,9.55
206.238.236.181,2053,443,TRUE,Singapore,Europe,DE,Singapore,325,9.52
114.129.43.71,2053,443,TRUE,Singapore,Europe,DE,Singapore,273,9.51
114.129.43.111,2053,443,TRUE,Singapore,Europe,DE,Singapore,190,9.5
114.129.43.202,2053,443,TRUE,Singapore,Europe,DE,Singapore,432,9.5
114.129.43.139,2053,443,TRUE,Singapore,Europe,DE,Singapore,285,9.48
206.238.236.177,2053,443,TRUE,Singapore,Europe,DE,Singapore,276,9.47
206.238.236.3,2053,443,TRUE,Singapore,Europe,DE,Singapore,225,9.47
114.129.43.132,2053,443,TRUE,Singapore,Europe,DE,Singapore,189,9.46
114.129.43.179,2053,443,TRUE,Singapore,Europe,DE,Singapore,191,9.45
114.129.43.90,2053,443,TRUE,Singapore,Europe,DE,Singapore,186,9.45
114.129.43.167,2053,443,TRUE,Singapore,Europe,DE,Singapore,201,9.44
206.238.236.145,2053,443,TRUE,Singapore,Europe,DE,Singapore,269,9.44
114.129.43.102,2053,443,TRUE,Singapore,Europe,DE,Singapore,411,9.44
114.129.43.196,2053,443,TRUE,Singapore,Europe,DE,Singapore,286,9.43
206.238.237.227,2053,443,TRUE,Singapore,Europe,DE,Singapore,277,9.43
114.129.43.34,2053,443,TRUE,Singapore,Europe,DE,Singapore,328,9.42
114.129.43.15,2053,443,TRUE,Singapore,North America,US,Singapore,223,9.4
114.129.43.30,2053,443,TRUE,Singapore,Europe,FR,Singapore,265,9.4
206.238.237.209,2053,443,TRUE,Singapore,Europe,DE,Singapore,176,9.34
114.129.43.48,2053,443,TRUE,Singapore,Europe,DE,Singapore,312,9.34
114.129.43.17,2053,443,TRUE,Singapore,Europe,DE,Singapore,305,9.34
114.129.43.138,2053,443,TRUE,Singapore,Europe,DE,Singapore,236,9.3
206.238.237.250,2053,443,TRUE,Singapore,Europe,DE,Singapore,401,9.3
206.238.237.238,2053,443,TRUE,Singapore,North America,US,Singapore,418,9.3
114.129.43.70,2053,443,TRUE,Singapore,Europe,FR,Singapore,357,9.3
206.238.237.191,2053,443,TRUE,Singapore,Europe,DE,Singapore,285,9.3
114.129.43.181,2053,443,TRUE,Singapore,Europe,DE,Singapore,266,9.29
114.129.43.89,2053,443,TRUE,Singapore,Europe,DE,Singapore,451,9.29
206.238.236.58,2053,443,TRUE,Singapore,Europe,DE,Singapore,316,9.27
206.238.236.50,2053,443,TRUE,Singapore,Europe,DE,Singapore,238,9.25
114.129.43.6,2053,443,TRUE,Singapore,Europe,DE,Singapore,266,9.23
114.129.43.112,2053,443,TRUE,Singapore,Europe,DE,Singapore,163,9.2
114.129.43.182,2053,443,TRUE,Singapore,North America,US,Singapore,375,9.16
114.129.43.40,2053,443,TRUE,Singapore,Europe,DE,Singapore,337,9.12
114.129.43.73,2053,443,TRUE,Singapore,Europe,NL,Singapore,441,9.11
114.129.43.37,2053,443,TRUE,Singapore,Europe,DE,Singapore,270,9.11
114.129.43.211,2053,443,TRUE,Singapore,Europe,DE,Singapore,269,9.11
114.129.43.243,2053,443,TRUE,Singapore,Europe,NL,Singapore,281,9.09
114.129.43.2,2053,443,TRUE,Singapore,Europe,DE,Singapore,382,9.09
206.238.236.164,2053,443,TRUE,Singapore,Europe,DE,Singapore,264,9.07
114.129.43.189,2053,443,TRUE,Singapore,Europe,DE,Singapore,341,9.07
114.129.43.204,2053,443,TRUE,Singapore,Europe,DE,Singapore,348,9.05
114.129.43.62,2053,443,TRUE,Singapore,Europe,DE,Singapore,236,9.05
114.129.43.13,2053,443,TRUE,Singapore,Europe,DE,Singapore,242,9.04
114.129.43.162,2053,443,TRUE,Singapore,Europe,DE,Singapore,325,9.04
206.238.236.189,2053,443,TRUE,Singapore,North America,US,Singapore,320,9.03
114.129.43.147,2053,443,TRUE,Singapore,Europe,DE,Singapore,244,9.01
114.129.43.214,2053,443,TRUE,Singapore,Europe,DE,Singapore,287,9.01
114.129.43.80,2053,443,TRUE,Singapore,Europe,DE,Singapore,272,8.96
114.129.43.192,2053,443,TRUE,Singapore,Europe,DE,Singapore,293,8.95
206.238.236.49,2053,443,TRUE,Singapore,Europe,DE,Singapore,344,8.94
114.129.43.113,2053,443,TRUE,Singapore,Europe,DE,Singapore,241,8.94
114.129.43.203,2053,443,TRUE,Singapore,Europe,DE,Singapore,381,8.94
114.129.43.4,2053,443,TRUE,Singapore,Europe,DE,Singapore,316,8.92
206.238.236.69,2053,443,TRUE,Singapore,Europe,DE,Singapore,268,8.91
114.129.43.136,2053,443,TRUE,Singapore,Europe,DE,Singapore,306,8.88
206.238.236.114,2053,443,TRUE,Singapore,Europe,DE,Singapore,303,8.87
206.238.236.135,2053,443,TRUE,Singapore,Europe,DE,Singapore,230,8.85
114.129.43.225,2053,443,TRUE,Singapore,Europe,DE,Singapore,435,8.8
114.129.43.5,2053,443,TRUE,Singapore,Europe,DE,Singapore,321,8.79
114.129.43.148,2053,443,TRUE,Singapore,Europe,DE,Singapore,315,8.78
114.129.43.103,2053,443,TRUE,Singapore,Europe,DE,Singapore,293,8.78
206.238.236.45,2053,443,TRUE,Singapore,Europe,DE,Singapore,281,8.77
206.238.236.4,2053,443,TRUE,Singapore,Europe,DE,Singapore,322,8.77
206.238.236.26,2053,443,TRUE,Singapore,North America,US,Singapore,252,8.77
114.129.43.153,2053,443,TRUE,Singapore,Europe,DE,Singapore,464,8.76
114.129.43.135,2053,443,TRUE,Singapore,North America,US,Singapore,287,8.75
114.129.43.240,2053,443,TRUE,Singapore,Europe,DE,Singapore,259,8.73
206.238.237.199,2053,443,TRUE,Singapore,Europe,SE,Singapore,212,8.73
206.238.236.92,2053,443,TRUE,Singapore,Europe,DE,Singapore,323,8.73
206.238.236.187,2053,443,TRUE,Singapore,Europe,FR,Singapore,190,8.71
114.129.43.125,2053,443,TRUE,Singapore,Europe,DE,Singapore,153,8.71
206.238.236.103,2053,443,TRUE,Singapore,North America,US,Singapore,349,8.71
206.238.237.220,2053,443,TRUE,Singapore,Europe,DE,Singapore,342,8.68
114.129.43.99,2053,443,TRUE,Singapore,Europe,DE,Singapore,257,8.67
114.129.43.18,2053,443,TRUE,Singapore,Europe,NL,Singapore,302,8.67
114.129.43.166,2053,443,TRUE,Singapore,Europe,DE,Singapore,207,8.66
114.129.43.186,2053,443,TRUE,Singapore,Europe,DE,Singapore,355,8.65
206.238.237.218,2053,8443,TRUE,Singapore,North America,CA,Singapore,320,8.65
206.238.236.60,2053,443,TRUE,Singapore,Europe,DE,Singapore,218,8.65
114.129.43.31,2053,443,TRUE,Singapore,Europe,DE,Singapore,264,8.64
114.129.43.221,2053,443,TRUE,Singapore,Europe,DE,Singapore,393,8.64
206.238.237.221,2053,443,TRUE,Singapore,Europe,DE,Singapore,373,8.63
114.129.43.3,2053,443,TRUE,Singapore,Europe,DE,Singapore,271,8.62
114.129.43.98,2053,443,TRUE,Singapore,Europe,DE,Singapore,324,8.62
114.129.43.121,2053,443,TRUE,Singapore,Europe,DE,Singapore,316,8.61
114.129.43.236,2053,443,TRUE,Singapore,Europe,DE,Singapore,348,8.61
114.129.43.195,2053,443,TRUE,Singapore,Europe,DE,Singapore,335,8.6
114.129.43.54,2053,443,TRUE,Singapore,Europe,DE,Singapore,331,8.58
206.238.237.245,2053,443,TRUE,Singapore,North America,US,Singapore,330,8.56
114.129.43.248,2053,443,TRUE,Singapore,Europe,DE,Singapore,236,8.56
206.238.236.85,2053,443,TRUE,Singapore,Europe,DE,Singapore,361,8.55
206.238.236.89,2053,443,TRUE,Singapore,Europe,DE,Singapore,339,8.52
114.129.43.145,2053,443,TRUE,Singapore,North America,US,Singapore,320,8.51
206.238.236.82,2053,443,TRUE,Singapore,Europe,DE,Singapore,369,8.5
206.238.236.143,2053,443,TRUE,Singapore,Europe,DE,Singapore,313,8.49
114.129.43.229,2053,443,TRUE,Singapore,Europe,DE,Singapore,173,8.49
206.238.236.97,2053,443,TRUE,Singapore,Europe,DE,Singapore,421,8.47
206.238.236.52,2053,443,TRUE,Singapore,Europe,DE,Singapore,348,8.47
114.129.43.183,2053,443,TRUE,Singapore,Europe,DE,Singapore,291,8.44
206.238.237.251,2053,443,TRUE,Singapore,Europe,DE,Singapore,283,8.43
114.129.43.250,2053,443,TRUE,Singapore,Europe,DE,Singapore,356,8.42
206.238.236.71,2053,443,TRUE,Singapore,Europe,DE,Singapore,287,8.39
154.219.5.23,2053,443,TRUE,Singapore,Europe,DE,Singapore,279,8.33
206.238.236.171,2053,443,TRUE,Singapore,Europe,FR,Singapore,315,8.33
114.129.43.228,2053,443,TRUE,Singapore,Europe,DE,Singapore,203,8.32
206.238.236.61,2053,443,TRUE,Singapore,Europe,DE,Singapore,320,8.31
206.238.236.122,2053,443,TRUE,Singapore,Europe,DE,Singapore,290,8.31
114.129.43.101,2053,443,TRUE,Singapore,Europe,DE,Singapore,347,8.3
206.238.237.196,2053,443,TRUE,Singapore,North America,US,Singapore,305,8.26
114.129.43.212,2053,443,TRUE,Singapore,Europe,DE,Singapore,296,8.24
114.129.43.177,2053,443,TRUE,Singapore,North America,US,Singapore,241,8.18
114.129.43.43,2053,443,TRUE,Singapore,Europe,DE,Singapore,369,8.17
206.238.237.213,2053,443,TRUE,Singapore,Europe,DE,Singapore,364,8.14
206.238.236.137,2053,443,TRUE,Singapore,Europe,DE,Singapore,313,8.14
206.238.236.44,2053,443,TRUE,Singapore,Europe,FR,Singapore,302,8.14
206.238.236.170,2053,443,TRUE,Singapore,Europe,DE,Singapore,198,8.11
206.238.236.53,2053,443,TRUE,Singapore,North America,US,Singapore,211,8.1
114.129.43.207,2053,443,TRUE,Singapore,Europe,DE,Singapore,299,8.09
114.129.43.155,2053,443,TRUE,Singapore,Europe,DE,Singapore,320,8.06
114.129.43.209,2053,443,TRUE,Singapore,Europe,DE,Singapore,335,8.06
114.129.43.169,2053,443,TRUE,Singapore,Europe,FR,Singapore,314,8.05
114.129.43.149,2053,443,TRUE,Singapore,Europe,FR,Singapore,382,8.03
114.129.43.133,2053,443,TRUE,Singapore,Europe,DE,Singapore,377,8.02
114.129.43.154,2053,443,TRUE,Singapore,Europe,GB,Singapore,213,8.01
206.238.236.9,2053,443,TRUE,Singapore,Europe,DE,Singapore,389,8.01
206.238.237.230,2053,443,TRUE,Singapore,Europe,DE,Singapore,353,8
114.129.43.65,2053,443,TRUE,Singapore,Europe,DE,Singapore,448,7.95
206.238.236.47,2053,443,TRUE,Singapore,Europe,DE,Singapore,355,7.94
206.238.237.253,2053,443,TRUE,Singapore,Europe,DE,Singapore,323,7.91
114.129.43.88,2053,443,TRUE,Singapore,Europe,DE,Singapore,250,7.85
114.129.43.84,2053,443,TRUE,Singapore,Europe,DE,Singapore,397,7.82
206.238.236.117,2053,443,TRUE,Singapore,Europe,DE,Singapore,314,7.8
114.129.43.171,2053,443,TRUE,Singapore,Europe,DE,Singapore,300,7.8
114.129.43.29,2053,443,TRUE,Singapore,Europe,DE,Singapore,262,7.79
206.238.236.161,2053,443,TRUE,Singapore,Europe,DE,Singapore,371,7.76
206.238.236.65,2053,443,TRUE,Singapore,Europe,DE,Singapore,269,7.76
206.238.237.254,2053,443,TRUE,Singapore,Europe,DE,Singapore,279,7.76
206.238.236.57,2053,443,TRUE,Singapore,Europe,CH,Singapore,284,7.75
206.238.236.77,2053,443,TRUE,Singapore,Europe,DE,Singapore,266,7.74
206.238.237.239,2053,443,TRUE,Singapore,Europe,DE,Singapore,234,7.73
206.238.236.99,2053,443,TRUE,Singapore,North America,US,Singapore,461,7.72
206.238.236.109,2053,443,TRUE,Singapore,Europe,DE,Singapore,216,7.72
206.238.236.19,2053,443,TRUE,Singapore,Europe,DE,Singapore,340,7.71
114.129.43.126,2053,443,TRUE,Singapore,North America,US,Singapore,245,7.7
114.129.43.97,2053,443,TRUE,Singapore,Europe,DE,Singapore,438,7.7
206.238.236.8,2053,443,TRUE,Singapore,Europe,DE,Singapore,326,7.67
206.238.237.215,2053,443,TRUE,Singapore,North America,US,Singapore,323,7.67
114.129.43.45,2053,443,TRUE,Singapore,Europe,DE,Singapore,286,7.62
206.238.236.113,2053,443,TRUE,Singapore,Europe,DE,Singapore,206,7.6
114.129.43.86,2053,443,TRUE,Singapore,North America,US,Singapore,315,7.58
114.129.43.104,2053,443,TRUE,Singapore,North America,US,Singapore,336,7.57
206.238.236.115,2053,443,TRUE,Singapore,Europe,DE,Singapore,265,7.57
154.219.5.26,2053,443,TRUE,Singapore,Europe,IT,Singapore,373,7.56
206.238.236.154,2053,443,TRUE,Singapore,North America,US,Singapore,286,7.56
114.129.43.144,2053,443,TRUE,Singapore,North America,US,Singapore,322,7.55
114.129.43.67,2053,443,TRUE,Singapore,North America,US,Singapore,225,7.55
114.129.43.201,2053,443,TRUE,Singapore,Europe,DE,Singapore,278,7.48
206.238.236.90,2053,443,TRUE,Singapore,Europe,DE,Singapore,343,7.47
206.238.237.249,2053,443,TRUE,Singapore,Europe,DE,Singapore,347,7.47
206.238.236.30,2053,443,TRUE,Singapore,Europe,DE,Singapore,357,7.43
206.238.236.29,2053,443,TRUE,Singapore,Europe,DE,Singapore,328,7.4
206.238.237.194,2053,443,TRUE,Singapore,North America,US,Singapore,336,7.39
206.238.236.20,2053,443,TRUE,Singapore,Europe,DE,Singapore,275,7.39
114.129.43.191,2053,443,TRUE,Singapore,Europe,DE,Singapore,283,7.38
114.129.43.25,2053,443,TRUE,Singapore,Europe,DE,Singapore,468,7.38
114.129.43.47,2053,443,TRUE,Singapore,Europe,DE,Singapore,320,7.36
206.238.237.242,2053,443,TRUE,Singapore,Europe,DE,Singapore,365,7.36
206.238.237.255,2053,443,TRUE,Singapore,Europe,DE,Singapore,360,7.34
114.129.43.56,2053,443,TRUE,Singapore,Europe,DE,Singapore,333,7.34
114.129.43.174,2053,443,TRUE,Singapore,Europe,DE,Singapore,268,7.32
114.129.43.22,2053,443,TRUE,Singapore,Europe,DE,Singapore,323,7.29
114.129.43.61,2053,443,TRUE,Singapore,Europe,DE,Singapore,330,7.27
114.129.43.157,2053,443,TRUE,Singapore,Europe,NL,Singapore,364,7.25
114.129.43.141,2053,443,TRUE,Singapore,North America,CA,Singapore,393,7.16
206.238.237.232,2053,443,TRUE,Singapore,Europe,DE,Singapore,390,7.13
206.238.237.241,2053,443,TRUE,Singapore,Asia Pacific,IN,Singapore,188,7.11
206.238.236.54,2053,443,TRUE,Singapore,Europe,DE,Singapore,368,7.1
114.129.43.244,2053,443,TRUE,Singapore,Europe,DE,Singapore,246,7.08
114.129.43.245,2053,443,TRUE,Singapore,Europe,DE,Singapore,369,7.05
206.238.237.219,2053,443,TRUE,Singapore,Europe,DE,Singapore,337,7.03
206.238.237.197,2053,8443,TRUE,Singapore,Europe,FR,Singapore,261,7.01
114.129.43.115,2053,443,TRUE,Singapore,Europe,DE,Singapore,194,6.95
114.129.43.241,2053,443,TRUE,Singapore,North America,US,Singapore,268,6.94
114.129.43.44,2053,443,TRUE,Singapore,Europe,DE,Singapore,236,6.94
114.129.43.120,2053,443,TRUE,Singapore,Europe,DE,Singapore,234,6.91
